id,transaction_id,price,date_processed,quarter,month,year,year_month,post_code,property_type,whether_new,tenure,address1,address2,address3,address4,town,local_authority,county,record_status,post_code_clean,inner_outer,borough_code,borough_name,ward_code,ward_name,msoa11,lsoa11,oa11
3026930,{5849EF5A-210E-497D-948D-0006687AD627},550000,28/01/13 00:00,1,1,2013,2013/1,SE145DS,S,N,F,3, ,NEW CROSS ROAD, ,LONDON,LEWISHAM,GREATER LONDON, ,SE145DS,Inner,E09000023,Lewisham,E05000449,New Cross,E02000655,E01003302,E00016694
3026931,{33196D01-BFFD-482E-91F7-00071C9DD7B1},277500,25/01/13 00:00,1,1,2013,2013/1,N7  0LG,F,N,L,364,FLAT 1B,CAMDEN ROAD, ,LONDON,ISLINGTON,GREATER LONDON, ,N7  0LG,Inner,E09000019,Islington,E05000375,Holloway,E02000563,E01002764,E00013774
3026946,{CCDB8980-1BDC-4319-A5F5-00107CA32D63},234000,21/01/13 00:00,1,1,2013,2013/1,DA7 4DT,T,N,F,191, ,CHURCH ROAD, ,BEXLEYHEATH,BEXLEY,GREATER LONDON, ,DA7 4DT,Outer,E09000004,Bexley,E05000068,Brampton,E02000075,E01000358,E00001731
3026967,{F947D4C0-66C3-4D42-8D0B-001D70A312C1},250000,31/01/13 00:00,1,1,2013,2013/1,BR1 5QT,T,N,F,16, ,CHELFORD ROAD, ,BROMLEY,LEWISHAM,GREATER LONDON, ,BR1 5QT,Inner,E09000023,Lewisham,E05000442,Downham,E02006784,E01003241,E00016388
3026969,{83AFB4C0-23C9-47A8-80E3-001DCAA6A792},201000,21/01/13 00:00,1,1,2013,2013/1,UB9 6BZ,T,N,F,70, ,HIGH STREET,HAREFIELD,UXBRIDGE,HILLINGDON,GREATER LONDON, ,UB9 6BZ,Outer,E09000017,Hillingdon,E05000330,Harefield,E02000496,E01002439,E00012156
3026979,{82C820E6-6939-4E4A-BC39-0021C78EF3BB},177000,31/01/13 00:00,1,1,2013,2013/1,BR5 4DT,F,N,L,26,FLAT 2,DERRY DOWNS,ST MARY CRAY,ORPINGTON,BROMLEY,GREATER LONDON, ,BR5 4DT,Outer,E09000006,Bromley,E05000114,Cray Valley East,E02000155,E01000726,E00003527
3027004,{A0AFFEFB-41AF-40C6-BD3B-003575D26DB0},300000,31/01/13 00:00,1,1,2013,2013/1,N1  5ET,F,Y,L,RELIANCE WHARF,FLAT 85,HERTFORD ROAD, ,LONDON,HACKNEY,GREATER LONDON, ,N1  5ET,Inner,E09000012,Hackney,E05000236,De Beauvoir,E02000369,E01001754,E00176240
3027035,{06C6294D-FD90-437B-B6E0-0049D8A82CAA},355000,14/01/13 00:00,1,1,2013,2013/1,E2  7PQ,F,N,L,60, ,OLD MARKET SQUARE, ,LONDON,TOWER HAMLETS,GREATER LONDON, ,E2  7PQ,Inner,E09000030,Tower Hamlets,E05000588,Weavers,E02000869,E01004311,E00021730
3027044,{8764C2E5-14C5-492D-967D-004D66AE161C},280000,28/01/13 00:00,1,1,2013,2013/1,W7  2JZ,S,N,L,129A, ,ELTHORNE AVENUE, ,LONDON,EALING,GREATER LONDON, ,W7  2JZ,Outer,E09000009,Ealing,E05000176,Elthorne,E02000265,E01001255,E00006262
3027046,{C8215B73-4EC1-4D07-BE0E-004F385B0D16},390000,18/01/13 00:00,1,1,2013,2013/1,W9  3HF,F,N,L,46,GROUND FLOOR FLAT,FORDINGLEY ROAD, ,LONDON,CITY OF WESTMINSTER,GREATER LONDON, ,W9  3HF,Inner,E09000033,City of Westminster,E05000635,Harrow Road,E02000964,E01004678,E00023590
3027050,{30A97E09-64C8-4237-B5A8-0051751B48A4},705000,31/01/13 00:00,1,1,2013,2013/1,NW3 4SL,F,N,L,63 - 65,FLAT 3,HAVERSTOCK HILL, ,LONDON,CAMDEN,GREATER LONDON, ,NW3 4SL,Inner,E09000007,Camden,E05000136,Haverstock,E02000177,E01000906,E00004469
3027052,{ABDA4E9F-F3A5-4069-996B-0052F6484C2E},310000,29/01/13 00:00,1,1,2013,2013/1,W4  2LR,F,N,L,33B, ,CHISWICK LANE, ,LONDON,HOUNSLOW,GREATER LONDON, ,W4  2LR,Outer,E09000018,Hounslow,E05000348,Chiswick Homefields,E02000526,E01002570,E00012817
3027069,{A57E0075-981C-4BD5-B60F-005C6C07A48B},1475000,18/01/13 00:00,1,1,2013,2013/1,W5  2SG,D,N,F,15, ,HILLCROFT CRESCENT, ,LONDON,EALING,GREATER LONDON, ,W5  2SG,Outer,E09000009,Ealing,E05000173,Ealing Broadway,E02000257,E01001223,E00006095
3027079,{B968B710-885E-494F-84FF-00628BF0C9B6},350000,31/01/13 00:00,1,1,2013,2013/1,UB6 9NU,S,N,F,2, ,CHINNOR CRESCENT, ,GREENFORD,EALING,GREATER LONDON, ,UB6 9NU,Outer,E09000009,Ealing,E05000178,Greenford Green,E02000249,E01001268,E00006334
3027080,{B6AD2C84-CDD4-4D2A-B3F1-0062B8EF3C9A},470000,04/01/13 00:00,1,1,2013,2013/1,TN147QX,D,N,F,30, ,DOWNE AVENUE,CUDHAM,SEVENOAKS,BROMLEY,GREATER LONDON, ,TN147QX,Outer,E09000006,Bromley,E05000117,Darwin,E02000162,E01000749,E00003645
3027096,{281BBB79-8921-45D9-A7A9-006DBD72801D},194500,29/01/13 00:00,1,1,2013,2013/1,SW2 4XF,F,N,L,46,FLAT 3,TELFORD AVENUE, ,LONDON,LAMBETH,GREATER LONDON, ,SW2 4XF,Inner,E09000022,Lambeth,E05000430,Streatham Hill,E02000643,E01003131,E00015843
3027108,{C6A602C0-08FC-447B-9289-0076C50577BF},205000,11/01/13 00:00,1,1,2013,2013/1,DA146JH,S,N,F,24, ,MIDDLETON AVENUE, ,SIDCUP,BEXLEY,GREATER LONDON, ,DA146JH,Outer,E09000004,Bexley,E05000072,Cray Meadows,E02000091,E01000384,E00001868
3027149,{4CFF8D76-49BA-4AF2-9046-008F636850EA},350000,28/01/13 00:00,1,1,2013,2013/1,TW7 7HE,T,N,F,5, ,REDLEES CLOSE, ,ISLEWORTH,HOUNSLOW,GREATER LONDON, ,TW7 7HE,Outer,E09000018,Hounslow,E05000362,Isleworth,E02000545,E01002670,E00013244
3027163,{461B3F86-074F-42B0-95A3-00974E9E15EB},232000,28/01/13 00:00,1,1,2013,2013/1,TW7 5JE,F,N,L,43, ,REDESDALE GARDENS, ,ISLEWORTH,HOUNSLOW,GREATER LONDON, ,TW7 5JE,Outer,E09000018,Hounslow,E05000363,Osterley and Spring Grove,E02000534,E01002679,E00013287
3027167,{F11027E0-FB52-48B9-91EF-0099721EF37D},235000,22/01/13 00:00,1,1,2013,2013/1,N9  8BP,T,N,F,53, ,CAUSEYWARE ROAD, ,LONDON,ENFIELD,GREATER LONDON, ,N9  8BP,Outer,E09000010,Enfield,E05000203,Jubilee,E02000299,E01001482,E00007337
3027192,{0949C5E7-AA1D-4DA4-BD83-00A6F7638D04},509950,15/01/13 00:00,1,1,2013,2013/1,TW8 0FD,F,Y,L,8,APARTMENT 34,KEW BRIDGE ROAD, ,BRENTFORD,HOUNSLOW,GREATER LONDON, ,TW8 0FD,Outer,E09000018,Hounslow,E05000347,Brentford,E02000528,E01002566,E00012758
3027203,{61204E77-C2CA-43D2-9FF1-00AB2ACD7F10},130000,10/01/13 00:00,1,1,2013,2013/1,SE207AB,F,N,L,82,FLAT 5,CROYDON ROAD, ,LONDON,BROMLEY,GREATER LONDON, ,SE207AB,Outer,E09000006,Bromley,E05000123,Penge and Cator,E02000141,E01000801,E00003938
3027216,{0EC18078-7654-4B13-810E-00BBD797AB6C},290000,04/01/13 00:00,1,1,2013,2013/1,N1  2DJ,F,N,L,"CATTON HOUSE, 6",2,PLEASANT PLACE, ,LONDON,ISLINGTON,GREATER LONDON, ,N1  2DJ,Inner,E09000019,Islington,E05000379,St. Mary's,E02000569,E01002793,E00013923
3027235,{5B9F3A5B-A6AE-4DF1-8344-00C44E06B785},318000,03/01/13 00:00,1,1,2013,2013/1,SE1 2UD,F,N,L,DEVON MANSIONS,FLAT 4,TOOLEY STREET, ,LONDON,SOUTHWARK,GREATER LONDON, ,SE1 2UD,Inner,E09000028,Southwark,E05000548,Riverside,E02000809,E01004027,E00020255
3027248,{8CB84387-3955-4989-BCE6-00CB49A854DA},329995,18/01/13 00:00,1,1,2013,2013/1,SW181EA,F,N,L,BLUEWATER HOUSE,FLAT 272,SMUGGLERS WAY, ,LONDON,WANDSWORTH,GREATER LONDON, ,SW181EA,Inner,E09000032,Wandsworth,E05000614,Fairfield,E02000932,E01004509,E00171058
3027250,{6BD048C5-DD77-4DD6-80FF-00CC7CA0E216},1280000,16/01/13 00:00,1,1,2013,2013/1,SW7 5JA,F,N,L,27,FLAT 3,QUEENS GATE, ,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON, ,SW7 5JA,Inner,E09000020,Kensington and Chelsea,E05000395,Queen's Gate,E02000586,E01002892,E00014533
3027252,{8953DCEE-0514-46E8-A94D-00CDD071AC27},508000,25/01/13 00:00,1,1,2013,2013/1,W9  2LL,F,N,L,DELAWARE MANSIONS,FLAT 134,DELAWARE ROAD, ,LONDON,CITY OF WESTMINSTER,GREATER LONDON, ,W9  2LL,Inner,E09000033,City of Westminster,E05000640,Maida Vale,E02000965,E01004706,E00023784
3027264,{F2879C66-7490-461F-BFE7-00D91FC3A3F0},605000,04/01/13 00:00,1,1,2013,2013/1,SW184LN,T,N,F,46, ,LYDDEN GROVE, ,LONDON,WANDSWORTH,GREATER LONDON, ,SW184LN,Inner,E09000032,Wandsworth,E05000612,Earlsfield,E02000941,E01004493,E00022619
3027265,{C384EA60-2EF4-40D7-8850-00D9E29268F0},608000,16/01/13 00:00,1,1,2013,2013/1,SW7 4XF,F,N,L,"POINT WEST, 116",FLAT 636,CROMWELL ROAD, ,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON, ,SW7 4XF,Inner,E09000020,Kensington and Chelsea,E05000395,Queen's Gate,E02000589,E01002888,E00014517
3027280,{F1E9E86F-1A8F-486F-A94C-00E3F88CB5D3},314500,21/01/13 00:00,1,1,2013,2013/1,E11 3AR,T,N,F,10, ,BROWNING ROAD, ,LONDON,WALTHAM FOREST,GREATER LONDON, ,E11 3AR,Outer,E09000031,Waltham Forest,E05000605,Leytonstone,E02000918,E01004438,E00022336
3027287,{0363C61E-6E3B-40F6-ADE5-00E6C8D7C49B},500000,25/01/13 00:00,1,1,2013,2013/1,BR2 9AD,S,N,F,13, ,PINEWOOD ROAD, ,BROMLEY,BROMLEY,GREATER LONDON, ,BR2 9AD,Outer,E09000006,Bromley,E05000109,Bromley Town,E02000144,E01000670,E00003238
